CMDLINE /usr/bin/python3 thread_data.py
MEM 195.628906 1667751426.6381
MEM 195.628906 1667751426.7387
MEM 195.886719 1667751426.8393
MEM 196.144531 1667751426.9398
MEM 196.660156 1667751427.0404
MEM 196.917969 1667751427.1409
MEM 197.175781 1667751427.2415
MEM 197.691406 1667751427.3421
MEM 197.949219 1667751427.4427
MEM 197.949219 1667751427.5434
MEM 198.207031 1667751427.6440
MEM 198.464844 1667751427.7446
MEM 198.980469 1667751427.8451
MEM 198.980469 1667751427.9457
MEM 199.238281 1667751428.0463
MEM 199.753906 1667751428.1469
MEM 200.011719 1667751428.2474
MEM 200.269531 1667751428.3480
MEM 200.527344 1667751428.4486
MEM 200.785156 1667751428.5495
MEM 201.042969 1667751428.6502
MEM 201.300781 1667751428.7507
MEM 201.558594 1667751428.8514
MEM 202.074219 1667751428.9526
MEM 202.074219 1667751429.0533
MEM 202.332031 1667751429.1541
MEM 202.589844 1667751429.2547
MEM 203.105469 1667751429.3553
MEM 203.363281 1667751429.4559
MEM 203.621094 1667751429.5565
MEM 204.136719 1667751429.6572
MEM 204.394531 1667751429.7578
MEM 204.652344 1667751429.8585
MEM 204.910156 1667751429.9592
MEM 205.425781 1667751430.0597
MEM 205.683594 1667751430.1602
MEM 205.941406 1667751430.2608
MEM 205.941406 1667751430.3615
MEM 206.457031 1667751430.4620
MEM 206.714844 1667751430.5626
MEM 206.972656 1667751430.6632
MEM 207.488281 1667751430.7639
MEM 207.746094 1667751430.8647
MEM 204.765625 1667751430.9655
MEM 162.367188 1667751431.0660
MEM 162.367188 1667751431.1666
MEM 162.625000 1667751431.2671
MEM 162.882812 1667751431.3676
MEM 162.882812 1667751431.4681
MEM 163.140625 1667751431.5687
MEM 163.140625 1667751431.6692
MEM 163.398438 1667751431.7698
MEM 163.398438 1667751431.8704
MEM 163.656250 1667751431.9709
MEM 163.914062 1667751432.0714
MEM 163.914062 1667751432.1719
MEM 164.171875 1667751432.2724
MEM 164.171875 1667751432.3730
MEM 164.429688 1667751432.4735
MEM 164.429688 1667751432.5740
MEM 164.687500 1667751432.6746
MEM 164.687500 1667751432.7751
MEM 164.945312 1667751432.8756
MEM 165.203125 1667751432.9762
MEM 165.203125 1667751433.0767
MEM 165.460938 1667751433.1773
MEM 165.460938 1667751433.2778
MEM 165.718750 1667751433.3783
MEM 165.976562 1667751433.4788
MEM 165.976562 1667751433.5793
MEM 166.234375 1667751433.6798
MEM 166.234375 1667751433.7804
MEM 166.492188 1667751433.8809
MEM 166.492188 1667751433.9815
MEM 166.750000 1667751434.0821
MEM 167.007812 1667751434.1826
MEM 167.007812 1667751434.2831
MEM 167.265625 1667751434.3836
MEM 167.265625 1667751434.4841
MEM 167.523438 1667751434.5847
MEM 167.523438 1667751434.6852
MEM 167.781250 1667751434.7857
MEM 168.039062 1667751434.8863
MEM 168.039062 1667751434.9868
MEM 168.296875 1667751435.0873
MEM 168.296875 1667751435.1878
MEM 168.554688 1667751435.2883
MEM 168.812500 1667751435.3888
MEM 168.812500 1667751435.4893
MEM 169.070312 1667751435.5898
MEM 169.070312 1667751435.6903
MEM 169.328125 1667751435.7908
MEM 169.328125 1667751435.8914
MEM 169.585938 1667751435.9919
MEM 169.843750 1667751436.0924
MEM 169.843750 1667751436.1929
MEM 170.101562 1667751436.2934
MEM 170.101562 1667751436.3939
MEM 170.359375 1667751436.4944
