CMDLINE /usr/bin/python3 lin_data.py
MEM 81.804688 1667751346.1437
MEM 82.320312 1667751346.2442
MEM 82.675781 1667751346.3447
MEM 83.187500 1667751346.4452
MEM 83.703125 1667751346.5456
MEM 84.218750 1667751346.6461
MEM 84.734375 1667751346.7466
MEM 85.250000 1667751346.8471
MEM 85.765625 1667751346.9475
MEM 86.023438 1667751347.0480
MEM 86.539062 1667751347.1485
MEM 87.054688 1667751347.2490
MEM 87.570312 1667751347.3494
MEM 88.085938 1667751347.4499
MEM 88.554688 1667751347.5504
MEM 89.070312 1667751347.6509
MEM 89.585938 1667751347.7514
MEM 90.105469 1667751347.8519
MEM 90.472656 1667751347.9524
MEM 90.984375 1667751348.0529
MEM 91.500000 1667751348.1534
MEM 92.015625 1667751348.2539
MEM 92.531250 1667751348.3544
MEM 93.046875 1667751348.4548
MEM 93.304688 1667751348.5554
MEM 93.820312 1667751348.6559
MEM 94.335938 1667751348.7564
MEM 94.851562 1667751348.8569
MEM 95.367188 1667751348.9573
MEM 95.882812 1667751349.0578
MEM 96.398438 1667751349.1583
MEM 96.914062 1667751349.2639
MEM 97.429688 1667751349.3644
MEM 97.687500 1667751349.4649
MEM 98.203125 1667751349.5654
MEM 98.718750 1667751349.6659
MEM 99.234375 1667751349.7664
MEM 99.750000 1667751349.8669
MEM 100.210938 1667751349.9674
MEM 100.722656 1667751350.0679
MEM 101.238281 1667751350.1684
MEM 101.753906 1667751350.2689
MEM 102.269531 1667751350.3694
MEM 102.785156 1667751350.4699
MEM 103.042969 1667751350.5704
MEM 103.558594 1667751350.6708
MEM 104.074219 1667751350.7713
MEM 104.589844 1667751350.8718
MEM 105.105469 1667751350.9723
MEM 105.621094 1667751351.0728
MEM 106.136719 1667751351.1732
MEM 106.652344 1667751351.2738
MEM 107.167969 1667751351.3743
MEM 107.683594 1667751351.4748
MEM 107.941406 1667751351.5753
MEM 108.457031 1667751351.6758
MEM 108.972656 1667751351.7762
MEM 109.488281 1667751351.8767
MEM 110.003906 1667751351.9772
MEM 110.519531 1667751352.0777
MEM 111.035156 1667751352.1781
MEM 111.550781 1667751352.2786
MEM 112.066406 1667751352.3791
MEM 112.375000 1667751352.4795
MEM 112.890625 1667751352.5800
MEM 113.406250 1667751352.6805
MEM 113.925781 1667751352.7810
MEM 114.437500 1667751352.8815
MEM 114.953125 1667751352.9820
MEM 115.468750 1667751353.0825
MEM 115.984375 1667751353.1830
MEM 116.500000 1667751353.2835
MEM 117.015625 1667751353.3839
MEM 117.273438 1667751353.4844
MEM 117.789062 1667751353.5849
MEM 118.304688 1667751353.6853
MEM 118.820312 1667751353.7858
MEM 119.335938 1667751353.8863
MEM 119.851562 1667751353.9868
MEM 120.367188 1667751354.0872
MEM 120.882812 1667751354.1877
MEM 121.398438 1667751354.2882
MEM 121.914062 1667751354.3937
MEM 122.171875 1667751354.4942
MEM 122.687500 1667751354.5947
MEM 123.203125 1667751354.6952
MEM 123.718750 1667751354.7957
MEM 124.281250 1667751354.8961
MEM 124.796875 1667751354.9966
MEM 125.312500 1667751355.0971
MEM 125.832031 1667751355.1976
MEM 126.085938 1667751355.2981
MEM 126.601562 1667751355.3986
MEM 127.117188 1667751355.4990
MEM 127.632812 1667751355.5995
MEM 128.148438 1667751355.7000
MEM 128.664062 1667751355.8004
MEM 129.179688 1667751355.9009
MEM 129.695312 1667751356.0014
MEM 130.210938 1667751356.1019
MEM 130.726562 1667751356.2023
MEM 130.984375 1667751356.3028
MEM 131.500000 1667751356.4033
MEM 132.015625 1667751356.5038
MEM 132.531250 1667751356.6043
MEM 132.988281 1667751356.7048
MEM 133.503906 1667751356.8053
MEM 134.019531 1667751356.9057
MEM 134.535156 1667751357.0062
MEM 135.050781 1667751357.1067
MEM 135.566406 1667751357.2072
MEM 135.937500 1667751357.3076
MEM 136.449219 1667751357.4081
MEM 136.964844 1667751357.5086
MEM 137.480469 1667751357.6091
MEM 137.996094 1667751357.7096
MEM 138.511719 1667751357.8101
MEM 139.027344 1667751357.9106
MEM 139.285156 1667751358.0111
MEM 139.800781 1667751358.1115
MEM 140.316406 1667751358.2120
MEM 140.832031 1667751358.3125
MEM 141.347656 1667751358.4129
MEM 141.863281 1667751358.5134
MEM 142.378906 1667751358.6139
MEM 142.894531 1667751358.7143
MEM 143.152344 1667751358.8148
MEM 143.667969 1667751358.9153
MEM 144.183594 1667751359.0157
MEM 95.421875 1667751359.1166
MEM 20.394531 1667751359.2174
