CMDLINE /usr/bin/python thread_data.py
MEM 435.207031 1666591339.2362
MEM 435.796875 1666591339.3798
MEM 436.312500 1666591339.5233
MEM 436.570312 1666591339.6668
MEM 437.085938 1666591339.8104
MEM 437.601562 1666591339.9540
MEM 438.242188 1666591340.0976
MEM 438.753906 1666591340.2411
MEM 439.011719 1666591340.3847
MEM 439.527344 1666591340.5335
MEM 440.042969 1666591340.6771
MEM 440.558594 1666591340.8208
MEM 441.074219 1666591340.9692
MEM 441.527344 1666591341.1128
MEM 442.042969 1666591341.2564
MEM 442.558594 1666591341.3999
MEM 443.074219 1666591341.5436
MEM 443.589844 1666591341.6873
MEM 443.847656 1666591341.8309
MEM 444.363281 1666591341.9746
MEM 444.941406 1666591342.1181
MEM 445.457031 1666591342.2614
MEM 445.972656 1666591342.4048
MEM 446.230469 1666591342.5481
MEM 446.746094 1666591342.6915
MEM 447.261719 1666591342.8347
MEM 447.777344 1666591342.9780
MEM 448.292969 1666591343.1213
MEM 448.781250 1666591343.2647
MEM 449.296875 1666591343.4081
MEM 449.554688 1666591343.5514
MEM 450.070312 1666591343.6946
MEM 450.585938 1666591343.8380
MEM 451.101562 1666591343.9812
MEM 451.617188 1666591344.1244
MEM 451.875000 1666591344.2725
MEM 413.968750 1666591344.4229
MEM 367.308594 1666591344.5691
MEM 289.152344 1666591344.7144
MEM 212.363281 1666591344.8593
MEM 136.214844 1666591345.0045
MEM 59.531250 1666591345.1496
