CMDLINE /usr/bin/python multi_data.py
CHLD 0 215.925781 1666591506.7961
MEM 224.378906 1666591506.9188
CHLD 0 216.183594 1666591506.9408
MEM 224.894531 1666591507.0632
CHLD 0 216.699219 1666591507.0853
MEM 225.410156 1666591507.2080
CHLD 0 217.214844 1666591507.2301
MEM 225.925781 1666591507.3526
CHLD 0 217.730469 1666591507.3747
MEM 226.441406 1666591507.4972
CHLD 0 218.246094 1666591507.5193
MEM 226.957031 1666591507.6419
CHLD 0 218.761719 1666591507.6639
MEM 227.472656 1666591507.7865
CHLD 0 219.277344 1666591507.8085
MEM 227.988281 1666591507.9311
CHLD 0 219.792969 1666591507.9532
MEM 228.503906 1666591508.0759
CHLD 0 220.308594 1666591508.0980
MEM 229.019531 1666591508.2206
CHLD 0 220.824219 1666591508.2425
MEM 229.535156 1666591508.3652
CHLD 0 221.339844 1666591508.3874
MEM 230.050781 1666591508.5099
CHLD 0 221.855469 1666591508.5321
MEM 230.566406 1666591508.6546
CHLD 0 222.371094 1666591508.6767
MEM 231.082031 1666591508.7991
CHLD 0 222.886719 1666591508.8213
MEM 231.339844 1666591508.9439
CHLD 0 223.402344 1666591508.9661
MEM 231.855469 1666591509.0885
CHLD 0 223.917969 1666591509.1107
MEM 232.371094 1666591509.2333
CHLD 0 224.433594 1666591509.2554
MEM 232.886719 1666591509.3779
CHLD 0 224.949219 1666591509.4000
MEM 233.402344 1666591509.5227
CHLD 0 225.464844 1666591509.5449
MEM 233.917969 1666591509.6676
CHLD 0 225.980469 1666591509.6896
MEM 234.433594 1666591509.8121
CHLD 0 226.238281 1666591509.8342
MEM 234.949219 1666591509.9567
CHLD 0 226.753906 1666591509.9788
MEM 235.464844 1666591510.1014
CHLD 0 227.269531 1666591510.1235
MEM 235.980469 1666591510.2460
CHLD 0 227.785156 1666591510.2682
MEM 236.496094 1666591510.3908
CHLD 0 228.300781 1666591510.4129
MEM 237.011719 1666591510.5355
CHLD 0 228.816406 1666591510.5575
MEM 237.527344 1666591510.6801
CHLD 0 229.332031 1666591510.7023
MEM 238.042969 1666591510.8248
CHLD 0 229.847656 1666591510.8469
MEM 238.558594 1666591510.9695
CHLD 0 230.363281 1666591510.9916
MEM 239.074219 1666591511.1141
CHLD 0 230.878906 1666591511.1364
MEM 239.589844 1666591511.2590
CHLD 0 231.394531 1666591511.2811
MEM 240.105469 1666591511.4038
CHLD 0 231.910156 1666591511.4259
MEM 240.621094 1666591511.5484
CHLD 0 232.425781 1666591511.5706
MEM 240.878906 1666591511.6932
CHLD 0 232.941406 1666591511.7154
MEM 241.394531 1666591511.8379
CHLD 0 233.457031 1666591511.8600
MEM 242.167969 1666591511.9947
CHLD 0 233.972656 1666591512.0167
MEM 242.425781 1666591512.1393
CHLD 0 234.488281 1666591512.1612
MEM 242.941406 1666591512.2837
CHLD 0 235.003906 1666591512.3056
MEM 243.457031 1666591512.4281
CHLD 0 235.519531 1666591512.4501
MEM 243.972656 1666591512.5726
CHLD 0 236.035156 1666591512.5945
MEM 244.488281 1666591512.7170
CHLD 0 236.550781 1666591512.7390
MEM 245.003906 1666591512.8615
CHLD 0 237.066406 1666591512.8835
MEM 245.519531 1666591513.0060
CHLD 0 237.324219 1666591513.0278
MEM 246.035156 1666591513.1502
CHLD 0 237.839844 1666591513.1722
MEM 246.550781 1666591513.2947
CHLD 0 238.355469 1666591513.3166
MEM 247.066406 1666591513.4391
CHLD 0 238.871094 1666591513.4610
MEM 247.582031 1666591513.5836
CHLD 0 239.386719 1666591513.6056
MEM 248.097656 1666591513.7282
CHLD 0 239.902344 1666591513.7501
MEM 248.613281 1666591513.8726
CHLD 0 240.417969 1666591513.8946
MEM 249.128906 1666591514.0171
CHLD 0 240.933594 1666591514.0390
MEM 249.644531 1666591514.1615
CHLD 0 241.449219 1666591514.1836
MEM 250.160156 1666591514.3061
CHLD 0 241.964844 1666591514.3279
MEM 250.675781 1666591514.4503
CHLD 0 242.480469 1666591514.4723
MEM 251.191406 1666591514.5947
CHLD 0 242.996094 1666591514.6167
MEM 251.707031 1666591514.7392
CHLD 0 243.511719 1666591514.7612
MEM 251.964844 1666591514.8837
CHLD 0 244.027344 1666591514.9057
MEM 252.480469 1666591515.0282
CHLD 0 244.542969 1666591515.0502
MEM 252.996094 1666591515.1727
CHLD 0 245.058594 1666591515.1946
MEM 253.511719 1666591515.3171
CHLD 0 245.574219 1666591515.3392
MEM 254.027344 1666591515.4617
CHLD 0 246.089844 1666591515.4836
MEM 254.542969 1666591515.6061
CHLD 0 246.605469 1666591515.6279
MEM 255.058594 1666591515.7504
CHLD 0 246.863281 1666591515.7724
MEM 255.574219 1666591515.8949
CHLD 0 247.378906 1666591515.9169
MEM 256.089844 1666591516.0395
CHLD 0 247.894531 1666591516.0614
MEM 256.605469 1666591516.1839
CHLD 0 248.410156 1666591516.2058
MEM 257.121094 1666591516.3283
CHLD 0 248.925781 1666591516.3502
MEM 257.636719 1666591516.4727
CHLD 0 249.441406 1666591516.4946
MEM 258.152344 1666591516.6171
CHLD 0 249.957031 1666591516.6390
MEM 258.667969 1666591516.7614
CHLD 0 250.472656 1666591516.7835
MEM 259.183594 1666591516.9059
CHLD 0 250.988281 1666591516.9278
MEM 259.699219 1666591517.0503
CHLD 0 251.503906 1666591517.0723
MEM 260.214844 1666591517.1948
CHLD 0 252.019531 1666591517.2166
MEM 260.730469 1666591517.3391
CHLD 0 252.535156 1666591517.3610
MEM 261.246094 1666591517.4835
CHLD 0 253.050781 1666591517.5054
MEM 261.503906 1666591517.6279
CHLD 0 253.566406 1666591517.6499
MEM 262.019531 1666591517.7724
CHLD 0 254.082031 1666591517.7943
MEM 262.535156 1666591517.9168
CHLD 0 254.597656 1666591517.9388
MEM 263.050781 1666591518.0612
CHLD 0 255.113281 1666591518.0832
MEM 263.566406 1666591518.2059
CHLD 0 255.628906 1666591518.2278
MEM 264.082031 1666591518.3502
CHLD 0 255.886719 1666591518.3721
MEM 264.597656 1666591518.4946
CHLD 0 256.402344 1666591518.5165
MEM 265.113281 1666591518.6390
CHLD 0 256.917969 1666591518.6609
MEM 265.628906 1666591518.7836
CHLD 0 257.433594 1666591518.8057
MEM 266.144531 1666591518.9281
CHLD 0 257.949219 1666591518.9501
MEM 266.660156 1666591519.0726
CHLD 0 258.464844 1666591519.0944
MEM 267.175781 1666591519.2168
CHLD 0 258.980469 1666591519.2388
MEM 267.691406 1666591519.3629
CHLD 0 259.496094 1666591519.3850
MEM 268.207031 1666591519.5076
CHLD 0 260.011719 1666591519.5296
MEM 268.722656 1666591519.6522
CHLD 0 260.527344 1666591519.6742
MEM 269.238281 1666591519.7966
CHLD 0 261.042969 1666591519.8188
MEM 269.496094 1666591519.9471
CHLD 0 261.300781 1666591519.9749
MEM 231.363281 1666591520.1017
CHLD 0 0.000000 1666591520.1265
